group,sample
pta_no_mapd_indel_outliers,1700BA6_TDP_A
pta_no_mapd_indel_outliers,1700BA6_TDP_B
pta_no_mapd_indel_outliers,1700BA6_TDP_C
pta_no_mapd_indel_outliers,1278_BA6_A
pta_no_mapd_indel_outliers,1278_BA6_B
pta_no_mapd_indel_outliers,1278_BA6_C
pta_no_mapd_indel_outliers,5087_BA6_A
pta_no_mapd_indel_outliers,5087_BA6_B
pta_no_mapd_indel_outliers,5087_BA6_C
pta_no_mapd_indel_outliers,5219_BA6_A
pta_no_mapd_indel_outliers,5219_BA6_B
pta_no_mapd_indel_outliers,5219_BA6_C
pta_no_mapd_indel_outliers,5451-BA6-A
pta_no_mapd_indel_outliers,5451-BA6-B
pta_no_mapd_indel_outliers,5451-BA6-C
pta_no_mapd_indel_outliers,5657_BA6_A
pta_no_mapd_indel_outliers,5657_BA6_B
pta_no_mapd_indel_outliers,5657_BA6_C
pta_no_mapd_indel_outliers,5817_BA6_A
pta_no_mapd_indel_outliers,5817_BA6_B
pta_no_mapd_indel_outliers,5817_BA6_C
pta_no_mapd_indel_outliers,5823_BA6_A
pta_no_mapd_indel_outliers,5823_BA6_B
pta_no_mapd_indel_outliers,5823_BA6_C
pta_no_mapd_indel_outliers,936_BA6_A
pta_no_mapd_indel_outliers,936_BA6_B
pta_no_mapd_indel_outliers,936_BA6_C
pta_no_mapd_indel_outliers,1300PFC_NeuN_A
pta_no_mapd_indel_outliers,1300PFC_NeuN_B
pta_no_mapd_indel_outliers,1300PFC_NeuN_C
pta_no_mapd_indel_outliers,1300PFC_TDP_A
pta_no_mapd_indel_outliers,1300PFC_TDP_B
pta_no_mapd_indel_outliers,1300PFC_TDP_C
pta_no_mapd_indel_outliers,1334PFC_NeuN_A
pta_no_mapd_indel_outliers,1334PFC_NeuN_B
pta_no_mapd_indel_outliers,1334PFC_NeuN_C
pta_no_mapd_indel_outliers,1334PFC_TDP_A
pta_no_mapd_indel_outliers,1334PFC_TDP_B
pta_no_mapd_indel_outliers,1334PFC_TDP_C
pta_no_mapd_indel_outliers,1792PFC_NeuN_A
pta_no_mapd_indel_outliers,1792PFC_NeuN_B
pta_no_mapd_indel_outliers,1792PFC_NeuN_C
pta_no_mapd_indel_outliers,1792PFC_TDP_A
pta_no_mapd_indel_outliers,1792PFC_TDP_B
pta_no_mapd_indel_outliers,1792PFC_TDP_C
pta_no_mapd_indel_outliers,6004PFC_N_A
pta_no_mapd_indel_outliers,6004PFC_N_B
pta_no_mapd_indel_outliers,6004PFC_N_C
pta_no_mapd_indel_outliers,6004PFC_T_A
pta_no_mapd_indel_outliers,S08631PFC_N_A
pta_no_mapd_indel_outliers,S08631PFC_N_B
pta_no_mapd_indel_outliers,S08631PFC_N_C
pta_no_mapd_indel_outliers,S08631PFC_T_A
pta_no_mapd_indel_outliers,S08631PFC_T_B
pta_no_mapd_indel_outliers,S08631PFC_T_C
pta_no_mapd_indel_outliers,S13034PFC_N_A
pta_no_mapd_indel_outliers,S13034PFC_N_B
pta_no_mapd_indel_outliers,S13034PFC_N_C
pta_no_mapd_indel_outliers,S13034PFC_T_A
pta_no_mapd_indel_outliers,S13034PFC_T_B
pta_no_mapd_indel_outliers,S13034PFC_T_C
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_12
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_18
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_20
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_24
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_25
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_2_WGSb
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_30
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_39
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_3_WGSb
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_46
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_47
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_5
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_51_WGSb
all_no_mapd_indel_outliers,1465-cortex_1-neuron_MDA_6_WGSb
all_no_mapd_indel_outliers,4638-MDA-2
all_no_mapd_indel_outliers,4638-MDA-03
all_no_mapd_indel_outliers,4638-MDA-4
all_no_mapd_indel_outliers,4638-MDA-7
all_no_mapd_indel_outliers,4638-MDA-11
all_no_mapd_indel_outliers,4638-MDA-12
all_no_mapd_indel_outliers,4638-MDA-14
all_no_mapd_indel_outliers,4638-MDA-15
all_no_mapd_indel_outliers,4638-MDA-20
all_no_mapd_indel_outliers,4638-MDA-24
all_no_mapd_indel_outliers,4643_MDA_1
all_no_mapd_indel_outliers,4643_MDA_2
all_no_mapd_indel_outliers,4643-MDA_23
all_no_mapd_indel_outliers,4643_MDA_24
all_no_mapd_indel_outliers,4643_MDA_26
all_no_mapd_indel_outliers,4643_MDA_3
all_no_mapd_indel_outliers,4643_MDA_31
all_no_mapd_indel_outliers,4643_MDA_32
all_no_mapd_indel_outliers,4643_MDA_4
all_no_mapd_indel_outliers,4643_MDA_5
all_no_mapd_indel_outliers,1278_ct_p1E3
all_no_mapd_indel_outliers,1278_ct_p1E6
all_no_mapd_indel_outliers,1278_ct_p1G9
all_no_mapd_indel_outliers,1278_ct_p2B9
all_no_mapd_indel_outliers,1278_ct_p2C7
all_no_mapd_indel_outliers,1278_ct_p2E4
all_no_mapd_indel_outliers,1278_ct_p2E6
all_no_mapd_indel_outliers,1278_ct_p2F5
all_no_mapd_indel_outliers,1278_ct_p2G5
all_no_mapd_indel_outliers,1465_ct_8p2h8
all_no_mapd_indel_outliers,1465_ct_p2B11
all_no_mapd_indel_outliers,1465_ctx_p2F06
all_no_mapd_indel_outliers,1465_ctx_p2g8
all_no_mapd_indel_outliers,5171_ct_p1H1
all_no_mapd_indel_outliers,5171_ct_p2F11
all_no_mapd_indel_outliers,5171_ct_p2F12
all_no_mapd_indel_outliers,5171_ct_p2G4
all_no_mapd_indel_outliers,5219_ct_p1G1
all_no_mapd_indel_outliers,5219_ct_p1G7
all_no_mapd_indel_outliers,5219_ct_p2A12
all_no_mapd_indel_outliers,5219_ct_p2C3
all_no_mapd_indel_outliers,5817_ct_p1H10
all_no_mapd_indel_outliers,5817_ct_p1H2
all_no_mapd_indel_outliers,5817_ct_p1H5
all_no_mapd_indel_outliers,5817_ct_p2H6
all_no_mapd_indel_outliers,5511_20150527-pfc-1cp1F6_20170221-WGS
all_no_mapd_indel_outliers,5511_20150527-pfc-1cp2D3_20170221-WGS
all_no_mapd_indel_outliers,5511_20150527-pfc-1cp2F3_20170221-WGS
all_no_mapd_indel_outliers,5823_20160810-dg-1cp2E1_20170221-WGS
all_no_mapd_indel_outliers,5823_20160810-dg-1cp3D11_20170221-WGS
all_no_mapd_indel_outliers,5823_20160810-dg-1cp3H1_20170221-WGS
all_no_mapd_indel_outliers,5823_20160824-pfc-1cp1F11_20170221-WGS
all_no_mapd_indel_outliers,5823_20160824-pfc-1cp2E1_20170221-WGS
all_no_mapd_indel_outliers,5823_20160824-pfc-1cp2G5_20170221-WGS
all_no_mapd_indel_outliers,5840_20160809-pfc-1cp1C2_20170221-WGS
all_no_mapd_indel_outliers,5840_20160809-pfc-1cp1D7_20170221-WGS
all_no_mapd_indel_outliers,5840_20160809-pfc-1cp1G4_20170221-WGS
all_no_mapd_indel_outliers,5840_20160810-dg-1cp2D10_20170221-WGS
all_no_mapd_indel_outliers,5840_20160810-dg-1cp3A10_20170221-WGS
all_no_mapd_indel_outliers,5840_20160810-dg-1cp3F8_20170221-WGS
all_no_mapd_indel_outliers,936_20141001-pfc-1cp1G11_20170221-WGS
all_no_mapd_indel_outliers,936_20141001-pfc-1cp1H9_20170221-WGS
all_no_mapd_indel_outliers,936_20141001-pfc-1cp2F6_20170221-WGS
all_no_mapd_indel_outliers,5559-dg1C11
all_no_mapd_indel_outliers,5559-dg1F1
all_no_mapd_indel_outliers,5559-dg3A11
all_no_mapd_indel_outliers,5559-dg4C11
all_no_mapd_indel_outliers,5559-dg4E3
all_no_mapd_indel_outliers,5559-pfc1C4
all_no_mapd_indel_outliers,5559-pfc1C7
all_no_mapd_indel_outliers,5559-pfc1E2
all_no_mapd_indel_outliers,5559-pfc1H2
all_no_mapd_indel_outliers,5559-pfc2A3
all_no_mapd_indel_outliers,5657-pfc1D2
all_no_mapd_indel_outliers,5657-pfc1E11
all_no_mapd_indel_outliers,5657-pfc2A6
all_no_mapd_indel_outliers,5657-pfc2F1
all_no_mapd_indel_outliers,5657-pfc2G9
all_no_mapd_indel_outliers,5657-dg1G2
all_no_mapd_indel_outliers,5657-dg2G2
all_no_mapd_indel_outliers,5657-dg4A12
all_no_mapd_indel_outliers,5657-dg4B1
all_no_mapd_indel_outliers,5657-dg4H1
all_no_mapd_indel_outliers,5087-1cp1C6
all_no_mapd_indel_outliers,5087-1cp1C9
all_no_mapd_indel_outliers,5087-1cp1D6
all_no_mapd_indel_outliers,5087-1cp1H10b
all_no_mapd_indel_outliers,5087-1cp2A2
all_no_mapd_indel_outliers,5532-1cp1E11
all_no_mapd_indel_outliers,5532-1cp1E9
all_no_mapd_indel_outliers,5532-1cp1H11
all_no_mapd_indel_outliers,5532-1cp1H4
all_no_mapd_indel_outliers,5532-1cp1H9
all_no_mapd_indel_outliers,5087pfc-Lp1C5
all_no_mapd_indel_outliers,5087pfc-Rp1G4
all_no_mapd_indel_outliers,5087pfc-Rp3C5
all_no_mapd_indel_outliers,5087pfc-Rp3F4
all_no_mapd_indel_outliers,5532pfc-Lp1C5
all_no_mapd_indel_outliers,5532pfc-Lp2C5
all_no_mapd_indel_outliers,5532pfc-Rp1C11
all_no_mapd_indel_outliers,5532pfc-Rp1H7
all_no_mapd_indel_outliers,1465-2-C1
all_no_mapd_indel_outliers,1465-2-E12
all_no_mapd_indel_outliers,GliaLC-4-B12
all_no_mapd_indel_outliers,GliaLC-4-D12
all_no_mapd_indel_outliers,GliaLC-4-D8
all_no_mapd_indel_outliers,GliaLC-4-E12
all_no_mapd_indel_outliers,GliaLC-4-F11
all_no_mapd_indel_outliers,GliaLC-4-F7
all_no_mapd_indel_outliers,GliaLC-4-F9
all_no_mapd_indel_outliers,GliaLC-4-G10
all_no_mapd_indel_outliers,GliaLC-4-H7
all_no_mapd_indel_outliers,GliaLC-4-H8
all_no_mapd_indel_outliers,GliaLC-5-B12
all_no_mapd_indel_outliers,GliaLC-5-B7
all_no_mapd_indel_outliers,GliaLC-5-B8
all_no_mapd_indel_outliers,GliaLC-5-C7
all_no_mapd_indel_outliers,GliaLC-5-D10
all_no_mapd_indel_outliers,GliaLC-5-E12
all_no_mapd_indel_outliers,GliaLC-5-E7
all_no_mapd_indel_outliers,GliaLC-5-G7
all_no_mapd_indel_outliers,GliaLC-5-H10
all_no_mapd_indel_outliers,GliaLC-5-H11
all_no_mapd_indel_outliers,GliaLC-6-A5
all_no_mapd_indel_outliers,GliaLC-6-A7
all_no_mapd_indel_outliers,GliaLC-6-B10
all_no_mapd_indel_outliers,GliaLC-6-B4
all_no_mapd_indel_outliers,GliaLC-6-B5
all_no_mapd_indel_outliers,GliaLC-6-C1
all_no_mapd_indel_outliers,GliaLC-6-C2
all_no_mapd_indel_outliers,GliaLC-6-D10
all_no_mapd_indel_outliers,GliaLC-6-D8
all_no_mapd_indel_outliers,GliaLC-6-E6
all_no_mapd_indel_outliers,GliaLC-6-E7
all_no_mapd_indel_outliers,GliaLC-6-F10
all_no_mapd_indel_outliers,GliaLC-6-F12
all_no_mapd_indel_outliers,GliaLC-6-F3
all_no_mapd_indel_outliers,GliaLC-6-G3
all_no_mapd_indel_outliers,GliaLC-6-G4
all_no_mapd_indel_outliers,GliaLC-6-G7
all_no_mapd_indel_outliers,GliaLC-6-H12
all_no_mapd_indel_outliers,GliaLC-6-H3
all_no_mapd_indel_outliers,GliaLC-6-H7
all_no_mapd_indel_outliers,1353-181114-Pp2B08
all_no_mapd_indel_outliers,1353-181114-Pp2H04
all_no_mapd_indel_outliers,1353-181114-Pp2H10
all_no_mapd_indel_outliers,1353_180322_P1E03
all_no_mapd_indel_outliers,1353_180322_Pp1C02
all_no_mapd_indel_outliers,1353_180322_Pp1G05
all_no_mapd_indel_outliers,1353_180322_Pp1H01
all_no_mapd_indel_outliers,1353_180327_Hp1D03
all_no_mapd_indel_outliers,1353_180508_Hp2C08
all_no_mapd_indel_outliers,1353_180508_Hp2E08
all_no_mapd_indel_outliers,1353_180508_Hp2G06
all_no_mapd_indel_outliers,1353_180508_Hp2H11
all_no_mapd_indel_outliers,1456_180403_Hp1D06
all_no_mapd_indel_outliers,1456_180403_Hp1E10
all_no_mapd_indel_outliers,1456_180403_Hp1G11
all_no_mapd_indel_outliers,1456_180403_Hp2G08
all_no_mapd_indel_outliers,1456_180508_Pp2B03
all_no_mapd_indel_outliers,1456_180508_Pp2B10
all_no_mapd_indel_outliers,1456_180508_Pp2D03
all_no_mapd_indel_outliers,1456_180508_Pp2D11
all_no_mapd_indel_outliers,1456_180508_Pp2E04
all_no_mapd_indel_outliers,1647-181116-Hp3C11
all_no_mapd_indel_outliers,1647-181116-Hp3E10
all_no_mapd_indel_outliers,1647-181116-Hp3G08
all_no_mapd_indel_outliers,1647-181116-Hp3H06
all_no_mapd_indel_outliers,1647-190108-Pp3B09
all_no_mapd_indel_outliers,1647-190108-Pp3B10
all_no_mapd_indel_outliers,1647-190108-Pp3C11
all_no_mapd_indel_outliers,1647_180713_P2B05
all_no_mapd_indel_outliers,1647_180713_P2D11
all_no_mapd_indel_outliers,1647_180713_P2G01
all_no_mapd_indel_outliers,1828-181116-Hp2B07
all_no_mapd_indel_outliers,1828-181116-Hp2C09
all_no_mapd_indel_outliers,1828-181116-Hp2D07
all_no_mapd_indel_outliers,1828-181116-Hp2D09
all_no_mapd_indel_outliers,MA1828_p1A09
all_no_mapd_indel_outliers,MA1828_p1C06
all_no_mapd_indel_outliers,MA1828_p1D06
all_no_mapd_indel_outliers,MA1828_p1F01
all_no_mapd_indel_outliers,MA1828_p1F03
all_no_mapd_indel_outliers,MA1828_p2G02
all_no_mapd_indel_outliers,MA1828_p2H11
all_no_mapd_indel_outliers,1995-181114-Pp5E11
all_no_mapd_indel_outliers,1995-181114-Pp5G02
all_no_mapd_indel_outliers,1995-181114-Pp5H06
all_no_mapd_indel_outliers,1995-181114-Pp5H08
all_no_mapd_indel_outliers,1995_180413_Hp1A12
all_no_mapd_indel_outliers,1995_180413_Hp1B03
all_no_mapd_indel_outliers,1995_180601_Pp4D07
all_no_mapd_indel_outliers,1995_180604_Hp2A12
all_no_mapd_indel_outliers,1995_180604_Hp2G12
all_no_mapd_indel_outliers,2208-181120-Hp1B01
all_no_mapd_indel_outliers,2208-181120-Hp1B02
all_no_mapd_indel_outliers,2208-181120-Hp1C12
all_no_mapd_indel_outliers,2208-181120-Hp1H04
all_no_mapd_indel_outliers,2208-181120-Hp1H05
all_no_mapd_indel_outliers,2208-181120-Pp1B05
all_no_mapd_indel_outliers,2208-181120-Pp1E01
all_no_mapd_indel_outliers,2208-181120-Pp1G03
all_no_mapd_indel_outliers,2208-181120-Pp1G04
all_no_mapd_indel_outliers,2208-181120-Pp1H10
all_no_mapd_indel_outliers,4556_170602_H1B01
all_no_mapd_indel_outliers,4556_170602_P1A08
all_no_mapd_indel_outliers,4556_170626_H2A09
all_no_mapd_indel_outliers,4556_170626_H2F06
all_no_mapd_indel_outliers,4556_170626_H2G07
all_no_mapd_indel_outliers,4556_170626_H2G11
all_no_mapd_indel_outliers,4556_170626_P2E02
all_no_mapd_indel_outliers,4556_170626_P2F08
all_no_mapd_indel_outliers,5222-181114-Pp3C03
all_no_mapd_indel_outliers,5222-181114-Pp3G05
all_no_mapd_indel_outliers,5222_180601_Pp2B04
all_no_mapd_indel_outliers,5222_180601_Pp2B12
all_no_mapd_indel_outliers,5222_180601_Pp2C01
all_no_mapd_indel_outliers,5222_180601_Pp2F05
all_no_mapd_indel_outliers,UMB5222_p1C06
all_no_mapd_indel_outliers,UMB5222_p1F08
all_no_mapd_indel_outliers,UMB5222_p1H04
all_no_mapd_indel_outliers,UMB5222_p1H07
all_no_mapd_indel_outliers,UMB5222_p2E10
all_no_mapd_indel_outliers,1465_pfcalk-1cA12
all_no_mapd_indel_outliers,1465_pfcalk-1cB07
all_no_mapd_indel_outliers,1465_pfcalk-1cB08
all_no_mapd_indel_outliers,1465_pfcalk-1cD09
all_no_mapd_indel_outliers,4976-190221-Hp1C04
all_no_mapd_indel_outliers,4976-190221-Hp1F11
all_no_mapd_indel_outliers,4976-190221-Hp1G08
all_no_mapd_indel_outliers,4976-190221-Hp2D06
all_no_mapd_indel_outliers,4976-190221-Hp2E09
all_no_mapd_indel_outliers,4976-190221-Pp1E11
all_no_mapd_indel_outliers,4976-190221-Pp2C05
all_no_mapd_indel_outliers,4976-190221-Pp2E06
all_no_mapd_indel_outliers,4976-190221-Pp2F02
all_no_mapd_indel_outliers,4976-190221-Pp2G03
all_no_mapd_indel_outliers,5087-190107-Hp1A09
all_no_mapd_indel_outliers,5087-190107-Hp1E12
all_no_mapd_indel_outliers,5087-190107-Hp1F06
all_no_mapd_indel_outliers,5087-190107-Hp1F09
all_no_mapd_indel_outliers,5087-190107-Hp1G08
all_no_mapd_indel_outliers,5171_180713_P2E03
all_no_mapd_indel_outliers,5171_180713_P2F01
all_no_mapd_indel_outliers,5171_180713_P2F06
all_no_mapd_indel_outliers,5171_180713_P2F08
all_no_mapd_indel_outliers,UMB5171_p1C01
all_no_mapd_indel_outliers,UMB5171_p1D11
all_no_mapd_indel_outliers,UMB5171_p1E07
all_no_mapd_indel_outliers,UMB5171_p1H01
all_no_mapd_indel_outliers,5451-190107-Hp1B10
all_no_mapd_indel_outliers,5451-190107-Hp1C11
all_no_mapd_indel_outliers,5451-190107-Hp1D05
all_no_mapd_indel_outliers,5451-190107-Hp1F11
all_no_mapd_indel_outliers,5451-190107-Hp1G10
all_no_mapd_indel_outliers,5451-190108-Pp1C03
all_no_mapd_indel_outliers,5451-190108-Pp1D01
all_no_mapd_indel_outliers,5451-190108-Pp1D10
all_no_mapd_indel_outliers,5451-190108-Pp1F05
all_no_mapd_indel_outliers,5451-190108-Pp1F09
all_no_mapd_indel_outliers,5657_180713_P1B06
all_no_mapd_indel_outliers,5657_180713_P1C01
all_no_mapd_indel_outliers,5657_180713_P1E08
all_no_mapd_indel_outliers,5657_180713_P1E10
all_no_mapd_indel_outliers,5657_180713_P1E11
all_no_mapd_indel_outliers,5657_180716_H1A08
all_no_mapd_indel_outliers,5657_180716_H1F01
all_no_mapd_indel_outliers,5657_180716_H1F09
all_no_mapd_indel_outliers,5657_180716_H1H08
all_no_mapd_indel_outliers,5657_180716_H1H11
all_no_mapd_indel_outliers,5823_180716_H1B10
all_no_mapd_indel_outliers,5823_180716_H1E04
all_no_mapd_indel_outliers,5823_180716_H1E07
all_no_mapd_indel_outliers,5823_180716_H1F04
all_no_mapd_indel_outliers,5823_180716_H1H05
all_no_mapd_indel_outliers,5840-190107-Hp2A12
all_no_mapd_indel_outliers,5840-190107-Hp2B02
all_no_mapd_indel_outliers,5840-190107-Hp2B08
all_no_mapd_indel_outliers,5840-190107-Hp2F03
all_no_mapd_indel_outliers,5840-190107-Hp2F12
all_no_mapd_indel_outliers,5943-190107-Hp1A07
all_no_mapd_indel_outliers,5943-190107-Hp1C10
all_no_mapd_indel_outliers,5943-190107-Hp1C11
all_no_mapd_indel_outliers,5943-190107-Hp1D04
all_no_mapd_indel_outliers,5943-190107-Hp1D10
all_no_mapd_indel_outliers,5943-190108-Pp1A10
all_no_mapd_indel_outliers,5943-190108-Pp1B02
all_no_mapd_indel_outliers,5943-190108-Pp1C02
all_no_mapd_indel_outliers,5943-190108-Pp1E07
all_no_mapd_indel_outliers,5943-190108-Pp1F06
all_no_mapd_indel_outliers,5171BA6-B2
all_no_mapd_indel_outliers,5171BA6-D2
all_no_mapd_indel_outliers,5171BA6-E2
all_no_mapd_indel_outliers,5823BA6-D11
all_no_mapd_indel_outliers,5823BA6-E10
all_no_mapd_indel_outliers,5823BA6-E7
all_no_mapd_indel_outliers,11901106_Gy_C1
all_no_mapd_indel_outliers,11901106_Gy_C2
all_no_mapd_indel_outliers,1278BA9-A
all_no_mapd_indel_outliers,1278BA9-B
all_no_mapd_indel_outliers,1278BA9-C
all_no_mapd_indel_outliers,1465BA9-A
all_no_mapd_indel_outliers,1465BA9-B
all_no_mapd_indel_outliers,1465BA9-C
all_no_mapd_indel_outliers,1465BA9-D
all_no_mapd_indel_outliers,301159_Gyrus_D1
all_no_mapd_indel_outliers,301159_Gyrus_D3
all_no_mapd_indel_outliers,4638-Neuron-4
all_no_mapd_indel_outliers,4638-Neuron-5
all_no_mapd_indel_outliers,4638-Neuron-6
all_no_mapd_indel_outliers,4643-Neuron-3
all_no_mapd_indel_outliers,4643-Neuron-4
all_no_mapd_indel_outliers,4643-Neuron-6
all_no_mapd_indel_outliers,5087PFC-A
all_no_mapd_indel_outliers,5087PFC-B
all_no_mapd_indel_outliers,5087PFC-C
all_no_mapd_indel_outliers,5219-Neuron-2
all_no_mapd_indel_outliers,5219-Neuron-4
all_no_mapd_indel_outliers,5219-Neuron-5
all_no_mapd_indel_outliers,5559PFC-A
all_no_mapd_indel_outliers,5559PFC-B
all_no_mapd_indel_outliers,5559PFC-C
all_no_mapd_indel_outliers,5657PFC-A
all_no_mapd_indel_outliers,5657PFC-B
all_no_mapd_indel_outliers,5657PFC-C
all_no_mapd_indel_outliers,5817PFC-A
all_no_mapd_indel_outliers,5817PFC-B
all_no_mapd_indel_outliers,5817PFC-C
all_no_mapd_indel_outliers,5823PFC-A
all_no_mapd_indel_outliers,5823PFC-B
all_no_mapd_indel_outliers,5823PFC-C
all_no_mapd_indel_outliers,5871-Neuron-4
all_no_mapd_indel_outliers,5871-Neuron-5
all_no_mapd_indel_outliers,5871-Neuron-6
all_no_mapd_indel_outliers,936PFC-A
all_no_mapd_indel_outliers,936PFC-B
all_no_mapd_indel_outliers,936PFC-C
all_no_mapd_indel_outliers,UMB4976_E1
all_no_mapd_indel_outliers,UMB4976_E2
all_no_mapd_indel_outliers,UMB4976_E3
all_no_mapd_indel_outliers,UMB5451_B2
all_no_mapd_indel_outliers,UMB5451_B3
all_no_mapd_indel_outliers,UMB5451_B5
all_no_mapd_indel_outliers,UMB5572_D2
all_no_mapd_indel_outliers,UMB5572_D3
all_no_mapd_indel_outliers,UMB5572_D4
all_no_mapd_indel_outliers,UMB5666_F1
all_no_mapd_indel_outliers,UMB5666_F2
all_no_mapd_indel_outliers,UMB5666_F5
all_no_mapd_indel_outliers,UMB5943_C2
all_no_mapd_indel_outliers,UMB5943_C4
all_no_mapd_indel_outliers,UMB5943_C5
all_no_mapd_indel_outliers,1278-Oligo-5
all_no_mapd_indel_outliers,1278-Oligo-7
all_no_mapd_indel_outliers,1278-Oligo-8
all_no_mapd_indel_outliers,1278_OL1
all_no_mapd_indel_outliers,1278_OL2
all_no_mapd_indel_outliers,1278_OL4
all_no_mapd_indel_outliers,1465-Oligo-5
all_no_mapd_indel_outliers,1465-Oligo-7
all_no_mapd_indel_outliers,1465-Oligo-8
all_no_mapd_indel_outliers,1465_OL1
all_no_mapd_indel_outliers,1465_OL2
all_no_mapd_indel_outliers,1465_OL3
all_no_mapd_indel_outliers,4638-Oligo-4
all_no_mapd_indel_outliers,4638-Oligo-5
all_no_mapd_indel_outliers,4638_OL3
all_no_mapd_indel_outliers,4638_OL8
all_no_mapd_indel_outliers,4643-Oligo-5
all_no_mapd_indel_outliers,4643-Oligo-6
all_no_mapd_indel_outliers,4643-Oligo-8
all_no_mapd_indel_outliers,4643_OL3
all_no_mapd_indel_outliers,5087-Oligo-4
all_no_mapd_indel_outliers,5087-Oligo-5
all_no_mapd_indel_outliers,5087-Oligo-7
all_no_mapd_indel_outliers,5087_OL2
all_no_mapd_indel_outliers,5087_OL8
all_no_mapd_indel_outliers,5219-Oligo-5
all_no_mapd_indel_outliers,5219-Oligo-6
all_no_mapd_indel_outliers,5219-Oligo-7
all_no_mapd_indel_outliers,5219_OL4
all_no_mapd_indel_outliers,5219_OL8
all_no_mapd_indel_outliers,5559-Oligo-3
all_no_mapd_indel_outliers,5559-Oligo-5
all_no_mapd_indel_outliers,5559-Oligo-8
all_no_mapd_indel_outliers,5559_OL1
all_no_mapd_indel_outliers,5559_OL2
all_no_mapd_indel_outliers,5657-Oligo-3
all_no_mapd_indel_outliers,5657-Oligo-5
all_no_mapd_indel_outliers,5657-Oligo-7
all_no_mapd_indel_outliers,5657_OL1
all_no_mapd_indel_outliers,5657_OL2
all_no_mapd_indel_outliers,5657_OL4
all_no_mapd_indel_outliers,5657_OL6
all_no_mapd_indel_outliers,5657_OL8
all_no_mapd_indel_outliers,5817-Oligo-4
all_no_mapd_indel_outliers,5817-Oligo-6
all_no_mapd_indel_outliers,5817-Oligo-7
all_no_mapd_indel_outliers,5817_OL2
all_no_mapd_indel_outliers,5817_OL3
all_no_mapd_indel_outliers,5817_OL8
all_no_mapd_indel_outliers,5823-Oligo-6
all_no_mapd_indel_outliers,5823-Oligo-7
all_no_mapd_indel_outliers,5823-Oligo-8
all_no_mapd_indel_outliers,5823_OL1
all_no_mapd_indel_outliers,5823_OL2
all_no_mapd_indel_outliers,5823_OL3
all_no_mapd_indel_outliers,5823_OL4
all_no_mapd_indel_outliers,5823_OL5
all_no_mapd_indel_outliers,5871-Oligo-4
all_no_mapd_indel_outliers,5871-Oligo-5
all_no_mapd_indel_outliers,5871-Oligo-7
all_no_mapd_indel_outliers,5871_OL3
all_no_mapd_indel_outliers,5871_OL6
all_no_mapd_indel_outliers,5871_OL8
all_no_mapd_indel_outliers,936-Oligo-4
all_no_mapd_indel_outliers,936-Oligo-5
all_no_mapd_indel_outliers,936-Oligo-6
all_no_mapd_indel_outliers,1353P_200925A1
all_no_mapd_indel_outliers,1353P_200925E1
all_no_mapd_indel_outliers,1353P_200925E2
all_no_mapd_indel_outliers,1353P_200925E3
all_no_mapd_indel_outliers,ALZ1456BA9-A
all_no_mapd_indel_outliers,ALZ1456BA9-B
all_no_mapd_indel_outliers,ALZ1456BA9-C
all_no_mapd_indel_outliers,ALZ1456BA9-D
all_no_mapd_indel_outliers,1647P_201001A5
all_no_mapd_indel_outliers,1647P_201001A6
all_no_mapd_indel_outliers,ALZ1647BA9-A
all_no_mapd_indel_outliers,ALZ1647BA9-B
all_no_mapd_indel_outliers,ALZ1647BA9-C
all_no_mapd_indel_outliers,ALZ1647BA9-D
all_no_mapd_indel_outliers,1828P_201001G1
all_no_mapd_indel_outliers,1828P_201001G2
all_no_mapd_indel_outliers,1828P_201001G6
all_no_mapd_indel_outliers,1828P_201001H1
all_no_mapd_indel_outliers,1995P_201001E5
all_no_mapd_indel_outliers,MA2207_A2
all_no_mapd_indel_outliers,MA2207_A3
all_no_mapd_indel_outliers,MA2207_A5
all_no_mapd_indel_outliers,2208P_201001C2
all_no_mapd_indel_outliers,2208P_201001C3
all_no_mapd_indel_outliers,2208P_201001C4
all_no_mapd_indel_outliers,2208P_201001C6
all_no_mapd_indel_outliers,2036BA6-A
all_no_mapd_indel_outliers,2036BA6-B
all_no_mapd_indel_outliers,2036BA6-C
all_no_mapd_indel_outliers,2036BA6_NeuN_A
all_no_mapd_indel_outliers,2036BA6_NeuN_B
all_no_mapd_indel_outliers,2036BA6_NeuN_C
all_no_mapd_indel_outliers,1844BA6-A
all_no_mapd_indel_outliers,1844BA6-B
all_no_mapd_indel_outliers,1844BA6-C
all_no_mapd_indel_outliers,1844BA6_NeuN_A
